signal_ID,intelligibility_score
CEC1_E005_S09634_L0221,63.44141694583057
CEC1_E005_S09819_L0241,23.346149717149547
CEC1_E007_S09158_L0235,99.43617665919257
CEC1_E010_S09246_L0229,64.56530348052112
CEC1_E010_S09564_L0235,81.53715669501834
CEC1_E010_S09702_L0217,92.31586797114093
CEC1_E018_S09156_L0201,23.09756538006054
CEC1_E018_S09169_L0219,0.42632742674190555
CEC1_E019_S09359_L0218,98.90215833387748
CEC1_E019_S09963_L0201,84.97792198338452
CEC1_E021_S08785_L0231,97.72094674992289
CEC1_E021_S09178_L0202,99.38300198090042
CEC2_E008_S08940_L0200,99.80458148032848
CEC2_E009_S08841_L0200,99.65540295063097
CEC2_E024_S09205_L0200,98.90302976229901
CEC2_E009_S09233_L0209,99.32243438625443
CEC2_E024_S09156_L0209,98.84035500040545
CEC2_E031_S09777_L0209,61.70836883502628
CEC2_E031_S09889_L0212,5.836644851896306
CEC2_E037_S09097_L0219,99.99679957073586
CEC2_E032_S09778_L0221,5.722894366400091
CEC2_E032_S08567_L0221,6.542884717703112
CEC2_E008_S09353_L0222,73.36755535413992
CEC2_E031_S08997_L0222,98.98833299974918
CEC2_E009_S09576_L0242,99.30651111280896
CEC2_E009_S09557_L0243,99.32531115391748
CEC2_E031_S09341_L0243,98.58738372601603
CEC2_E001_S09501_L0250,2.659355054018191
CEC2_E009_S09897_L0252,99.26102395358504
CEC2_E032_S09318_L0254,21.29774230139382
