signal_ID,intelligibility_score
CEC1_E001_S08518_L0227,35.242097735616866
CEC1_E001_S08530_L0241,24.795135989077977
CEC1_E001_S08532_L0242,11.124835933943505
CEC1_E001_S08537_L0229,10.482711691214083
CEC1_E001_S08537_L0242,10.749790832584974
CEC1_E001_S08540_L0212,15.680441940719062
CEC1_E001_S08554_L0218,40.23046186859578
CEC1_E001_S08554_L0221,61.87558797793942
CEC1_E001_S08555_L0202,63.76893665901513
CEC1_E001_S08558_L0227,27.15776030985742
CEC1_E001_S08558_L0241,20.586135180080934
CEC1_E001_S08561_L0208,11.048284654931942
CEC1_E001_S08564_L0212,10.700679572105779
CEC1_E001_S08566_L0218,10.553233377202053
CEC1_E001_S08569_L0219,78.39011498912191
CEC1_E001_S08574_L0212,13.025945393086008
CEC1_E001_S08575_L0240,56.93174684498097
CEC1_E001_S08576_L0229,55.39702875487412
CEC1_E001_S08576_L0235,52.91119401261806
CEC1_E001_S08578_L0224,9.8568403653006
CEC1_E001_S08579_L0219,21.746783380975604
CEC1_E001_S08582_L0215,46.41797529981228
CEC1_E001_S08587_L0222,25.305145954841404
CEC1_E001_S08590_L0202,10.823433348245903
CEC1_E001_S08592_L0243,46.10076477129039
CEC1_E001_S08593_L0212,11.866544804917178
CEC1_E001_S08593_L0221,12.771682880734327
CEC1_E001_S08594_L0231,21.57090425045281
CEC1_E001_S08595_L0208,67.61244990372866
CEC1_E001_S08596_L0215,24.63208850431721
CEC1_E001_S08600_L0227,39.749061229522056
CEC1_E001_S08600_L0241,58.994257638158416
CEC1_E001_S08603_L0227,16.726118714501748
CEC1_E001_S08603_L0241,15.786435869016215
CEC1_E001_S08606_L0224,32.74474921085062
CEC1_E001_S08614_L0218,15.71256996312801
CEC1_E001_S08615_L0215,10.057182479757477
CEC1_E001_S08624_L0212,11.340520124670393
CEC1_E001_S08624_L0221,10.26481497779737
CEC1_E001_S08625_L0200,41.94559889280035
CEC1_E001_S08627_L0219,15.399514434993304
CEC1_E001_S08628_L0243,30.44058366396104
CEC1_E001_S08633_L0218,68.01926832795557
CEC1_E001_S08636_L0243,54.706422694617224
CEC1_E001_S08637_L0222,70.17929802353625
CEC1_E001_S08644_L0219,57.034922089235685
CEC1_E001_S08645_L0240,42.035548394344005
CEC1_E001_S08648_L0222,35.995118278988656
CEC1_E001_S08649_L0236,52.09738334122796
CEC1_E001_S08651_L0215,27.443290183596947
CEC1_E001_S08652_L0219,25.30671120896453
CEC1_E001_S08653_L0231,11.9498938486765
CEC1_E001_S08656_L0215,10.244641220473172
CEC1_E001_S08660_L0231,71.57777086557888
CEC1_E001_S08662_L0208,9.862256256529017
CEC1_E001_S08664_L0217,12.895812896221718
CEC1_E001_S08667_L0212,19.34730198826122
CEC1_E001_S08671_L0200,11.88593385537694
CEC1_E001_S08674_L0218,20.99577256045677
CEC1_E001_S08674_L0221,26.221413518321373
CEC1_E001_S08681_L0222,10.964401543015635
CEC1_E001_S08682_L0217,13.42817230976407
CEC1_E001_S08683_L0224,15.56022381064315
CEC1_E001_S08685_L0240,21.16881351553005
CEC1_E001_S08686_L0208,11.509713950089814
CEC1_E001_S08688_L0209,13.068792132268303
CEC1_E001_S08689_L0208,40.788104135484964
CEC1_E001_S08690_L0227,87.94808854247623
CEC1_E001_S08690_L0235,87.83352290877325
CEC1_E001_S08702_L0201,12.668549436628203
CEC1_E001_S08703_L0229,10.588548687848027
CEC1_E001_S08703_L0235,14.067342141743248
CEC1_E001_S08707_L0215,11.294790672534905
CEC1_E001_S08710_L0243,12.37470678000054
CEC1_E001_S08714_L0236,19.446612011908325
CEC1_E001_S08717_L0236,25.982999049845308
CEC1_E001_S08719_L0212,18.607260260899615
CEC1_E001_S08719_L0221,12.879313120401124
CEC1_E001_S08723_L0201,49.40493207217929
CEC1_E001_S08725_L0217,23.606081465874063
CEC1_E001_S08727_L0224,28.91187273625585
CEC1_E001_S08729_L0217,40.68266829398429
CEC1_E001_S08729_L0242,30.431642809177585
CEC1_E001_S08732_L0200,10.464031805390002
CEC1_E001_S08732_L0240,10.010992142871064
CEC1_E001_S08739_L0236,12.61639253866432
CEC1_E001_S08742_L0229,44.34069260475863
CEC1_E001_S08742_L0235,36.834120489324185
CEC1_E001_S08743_L0222,36.7225913965627
CEC1_E001_S08745_L0218,19.338680907165077
CEC1_E001_S08745_L0221,19.272712722059534
CEC1_E001_S08750_L0222,13.21491557112088
CEC1_E001_S08751_L0229,11.596376257821083
CEC1_E001_S08751_L0235,10.929271262582853
CEC1_E001_S08752_L0208,28.648833719540196
CEC1_E001_S08752_L0209,10.79606344663141
CEC1_E001_S08753_L0219,13.424406145832323
CEC1_E001_S08756_L0236,10.150741275136937
CEC1_E001_S08759_L0202,11.94447918439505
CEC1_E001_S08761_L0212,46.136780330151915
CEC1_E001_S08765_L0201,33.459376313919904
CEC1_E001_S08766_L0201,26.093949351200592
CEC1_E001_S08778_L0212,12.284922131239782
CEC1_E001_S08778_L0221,13.359897710822942
CEC1_E001_S08779_L0212,42.90200212204694
CEC1_E001_S08779_L0221,47.14097392319954
CEC1_E001_S08780_L0212,68.03181724718725
CEC1_E001_S08781_L0201,10.57268096166408
CEC1_E001_S08782_L0243,35.80409467469278
CEC1_E001_S08785_L0224,39.98977757113473
CEC1_E001_S08786_L0242,82.4429841756063
CEC1_E001_S08790_L0240,27.580584603313532
CEC1_E001_S08791_L0200,52.1580536198143
CEC1_E001_S08791_L0240,63.888184964240516
CEC1_E001_S08793_L0217,39.714503904744376
CEC1_E001_S08795_L0240,45.04078880770578
CEC1_E001_S08798_L0229,26.38975326952764
CEC1_E001_S08798_L0235,44.36443233881988
CEC1_E001_S08800_L0243,10.807634387500984
CEC1_E001_S08808_L0227,51.1738299291217
CEC1_E001_S08808_L0241,54.56842478537298
CEC1_E001_S08809_L0224,43.84445675121053
CEC1_E001_S08810_L0212,32.562011904890795
CEC1_E001_S08810_L0221,22.832948029210957
CEC1_E001_S08816_L0215,51.59396606947262
CEC1_E001_S08817_L0243,12.643400468438903
CEC1_E001_S08818_L0227,54.62378989310077
CEC1_E001_S08818_L0235,63.558706160367336
CEC1_E001_S08820_L0212,30.178865792142847
CEC1_E001_S08820_L0221,42.72455323648999
CEC1_E001_S08821_L0240,17.749427567350093
CEC1_E001_S08823_L0200,12.375229201678197
CEC1_E001_S08823_L0240,10.853925190096344
CEC1_E001_S08827_L0219,29.28682557862469
CEC1_E001_S08828_L0200,43.86629515002958
CEC1_E001_S08829_L0208,23.323428252347405
CEC1_E001_S08829_L0209,16.55789382495558
CEC1_E001_S08831_L0229,87.87706290976305
CEC1_E001_S08831_L0235,87.92340634447706
CEC1_E001_S08833_L0242,29.441247434549773
CEC1_E001_S08834_L0201,59.53232426288087
CEC1_E001_S08836_L0242,12.787197015775025
CEC1_E001_S08837_L0243,68.56731899447038
CEC1_E001_S08843_L0215,10.942761147672686
CEC1_E001_S08844_L0219,26.465175042328525
CEC1_E001_S08847_L0215,17.241761319111784
CEC1_E001_S08851_L0200,10.58696981711135
CEC1_E001_S08853_L0219,69.67810543168059
CEC1_E001_S08854_L0202,13.586639133562537
CEC1_E001_S08855_L0236,10.071814821029523
CEC1_E001_S08856_L0231,23.900519234380898
CEC1_E001_S08858_L0215,37.33874914768935
CEC1_E001_S08862_L0217,10.188610771205681
CEC1_E001_S08870_L0215,36.138011654696285
CEC1_E001_S08872_L0219,24.848658804208483
CEC1_E001_S08873_L0219,22.048560370255856
CEC1_E001_S08879_L0217,11.244272744318907
CEC1_E001_S08884_L0200,21.270291891586908
CEC1_E001_S08885_L0224,10.030463240940225
CEC1_E001_S08887_L0218,10.233167460716746
CEC1_E001_S08887_L0221,10.037900279541802
CEC1_E001_S08889_L0200,78.12650479298826
CEC1_E001_S08889_L0240,75.83469016880288
CEC1_E001_S08890_L0202,25.825129640079187
CEC1_E001_S08894_L0222,32.82898861980324
CEC1_E001_S08895_L0236,10.446051778709496
CEC1_E001_S08901_L0224,81.90704154604396
CEC1_E001_S08903_L0222,13.775617769811378
CEC1_E001_S08905_L0231,32.9818182143077
CEC1_E001_S08907_L0202,46.72588943399347
CEC1_E001_S08908_L0240,84.43867522749075
CEC1_E001_S08911_L0243,11.830944317034298
CEC1_E001_S08916_L0236,24.291514253796716
CEC1_E001_S08917_L0200,26.771306383981102
CEC1_E001_S08919_L0231,9.867019935085438
CEC1_E001_S08920_L0227,71.53212183935838
CEC1_E001_S08920_L0241,68.90969372507794
